"","province","pt","type","category","constrained","Industry","conversion.factor"
"1","Alberta","AB","Direct","Output",NA,"Converted paper product manufacturing [BS322200]",10.1910021249569
"2","Alberta","AB","Direct","Output",NA,"Forestry and logging [BS113000]",41.1199550957861
"3","Alberta","AB","Direct","Output",NA,"Other wood product manufacturing [BS321900]",27.4492426800469
"4","Alberta","AB","Direct","Output",NA,"Pulp, paper and paperboard mills [BS322100]",65.7327021843867
"5","Alberta","AB","Direct","Output",NA,"Sawmills and wood preservation [BS321100]",82.5220089460457
"6","Alberta","AB","Direct","Output",NA,"Support activities for forestry [BS115300]",8.55896482813407
"7","Alberta","AB","Direct","Output",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",52.6741883745597
"8","Alberta","AB","Direct","Output",NA,"Total Forest Sector",288.248064233916
"9","Alberta","AB","Direct","GDP",NA,"Converted paper product manufacturing [BS322200]",3.19096523057526
"10","Alberta","AB","Direct","GDP",NA,"Forestry and logging [BS113000]",15.432721913576
"11","Alberta","AB","Direct","GDP",NA,"Other wood product manufacturing [BS321900]",9.32328998750583
"12","Alberta","AB","Direct","GDP",NA,"Pulp, paper and paperboard mills [BS322100]",19.407951220724
"13","Alberta","AB","Direct","GDP",NA,"Sawmills and wood preservation [BS321100]",31.0574482150135
"14","Alberta","AB","Direct","GDP",NA,"Support activities for forestry [BS115300]",3.80390231490238
"15","Alberta","AB","Direct","GDP",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",21.5310766634234
"16","Alberta","AB","Direct","GDP",NA,"Total Forest Sector",103.74735554572
"17","Alberta","AB","Direct","Jobs",NA,"Converted paper product manufacturing [BS3222]",2.60313641235311e-05
"18","Alberta","AB","Direct","Jobs",NA,"Forestry and logging [BS113]",0.000105011630591947
"19","Alberta","AB","Direct","Jobs",NA,"Other wood product manufacturing [BS3219]",0.000108334783458781
"20","Alberta","AB","Direct","Jobs",NA,"Pulp, paper and paperboard mills [BS3221]",7.25924281799464e-05
"21","Alberta","AB","Direct","Jobs",NA,"Sawmills and wood preservation [BS3211]",0.000147954150415588
"22","Alberta","AB","Direct","Jobs",NA,"Support activities for forestry [BS1153]",3.90285842249254e-05
"23","Alberta","AB","Direct","Jobs",NA,"Veneer, plywood and engineered wood product manufacturing [BS3212]",9.06851493438191e-05
"24","Alberta","AB","Direct","Jobs",NA,"Total Forest Sector",0.000589638090338537
"25","British Columbia","BC","Direct","Output",NA,"Converted paper product manufacturing [BS322200]",7.02093479024501
"26","British Columbia","BC","Direct","Output",NA,"Forestry and logging [BS113000]",85.6171467496823
"27","British Columbia","BC","Direct","Output",NA,"Other wood product manufacturing [BS321900]",36.3623144985056
"28","British Columbia","BC","Direct","Output",NA,"Pulp, paper and paperboard mills [BS322100]",72.7820155339714
"29","British Columbia","BC","Direct","Output",NA,"Sawmills and wood preservation [BS321100]",125.230392356098
"30","British Columbia","BC","Direct","Output",NA,"Support activities for forestry [BS115300]",14.7616329254147
"31","British Columbia","BC","Direct","Output",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",30.8237031375379
"32","British Columbia","BC","Direct","Output",NA,"Total Forest Sector",372.598139991455
"33","British Columbia","BC","Direct","GDP",NA,"Converted paper product manufacturing [BS322200]",2.3333949519923
"34","British Columbia","BC","Direct","GDP",NA,"Forestry and logging [BS113000]",35.2985561495426
"35","British Columbia","BC","Direct","GDP",NA,"Other wood product manufacturing [BS321900]",10.6255874338813
"36","British Columbia","BC","Direct","GDP",NA,"Pulp, paper and paperboard mills [BS322100]",19.2656655324839
"37","British Columbia","BC","Direct","GDP",NA,"Sawmills and wood preservation [BS321100]",30.706012104111
"38","British Columbia","BC","Direct","GDP",NA,"Support activities for forestry [BS115300]",7.43625769332993
"39","British Columbia","BC","Direct","GDP",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",10.5276736815537
"40","British Columbia","BC","Direct","GDP",NA,"Total Forest Sector",116.193147546895
"41","British Columbia","BC","Direct","Jobs",NA,"Converted paper product manufacturing [BS3222]",2.1722587436916e-05
"42","British Columbia","BC","Direct","Jobs",NA,"Forestry and logging [BS113]",0.00019983159353348
"43","British Columbia","BC","Direct","Jobs",NA,"Other wood product manufacturing [BS3219]",0.000123429687122894
"44","British Columbia","BC","Direct","Jobs",NA,"Pulp, paper and paperboard mills [BS3221]",9.75571128323585e-05
"45","British Columbia","BC","Direct","Jobs",NA,"Sawmills and wood preservation [BS3211]",0.000294422114200946
"46","British Columbia","BC","Direct","Jobs",NA,"Support activities for forestry [BS1153]",9.37475545878247e-05
"47","British Columbia","BC","Direct","Jobs",NA,"Veneer, plywood and engineered wood product manufacturing [BS3212]",7.82337365451914e-05
"48","British Columbia","BC","Direct","Jobs",NA,"Total Forest Sector",0.000908944386259611
"49","Manitoba","MB","Direct","Output",NA,"Converted paper product manufacturing [BS322200]",231.98079611487
"50","Manitoba","MB","Direct","Output",NA,"Forestry and logging [BS113000]",43.0770802173281
"51","Manitoba","MB","Direct","Output",NA,"Other wood product manufacturing [BS321900]",187.978322122734
"52","Manitoba","MB","Direct","Output",NA,"Pulp, paper and paperboard mills [BS322100]",128.136191351795
"53","Manitoba","MB","Direct","Output",NA,"Sawmills and wood preservation [BS321100]",66.1039619804756
"54","Manitoba","MB","Direct","Output",NA,"Support activities for forestry [BS115300]",12.4156998120119
"55","Manitoba","MB","Direct","Output",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",144.777856068764
"56","Manitoba","MB","Direct","Output",NA,"Total Forest Sector",814.469907667979
"57","Manitoba","MB","Direct","GDP",NA,"Converted paper product manufacturing [BS322200]",73.1678011281793
"58","Manitoba","MB","Direct","GDP",NA,"Forestry and logging [BS113000]",16.7496273240309
"59","Manitoba","MB","Direct","GDP",NA,"Other wood product manufacturing [BS321900]",85.3675757260692
"60","Manitoba","MB","Direct","GDP",NA,"Pulp, paper and paperboard mills [BS322100]",34.9953079173353
"61","Manitoba","MB","Direct","GDP",NA,"Sawmills and wood preservation [BS321100]",14.9913791518951
"62","Manitoba","MB","Direct","GDP",NA,"Support activities for forestry [BS115300]",6.215561520796
"63","Manitoba","MB","Direct","GDP",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",36.3833985795478
"64","Manitoba","MB","Direct","GDP",NA,"Total Forest Sector",267.870651347854
"65","Manitoba","MB","Direct","Jobs",NA,"Converted paper product manufacturing [BS3222]",0.000714866691039441
"66","Manitoba","MB","Direct","Jobs",NA,"Forestry and logging [BS113]",0.000188163400877695
"67","Manitoba","MB","Direct","Jobs",NA,"Other wood product manufacturing [BS3219]",0.00116676731773751
"68","Manitoba","MB","Direct","Jobs",NA,"Pulp, paper and paperboard mills [BS3221]",0.000303837622728738
"69","Manitoba","MB","Direct","Jobs",NA,"Sawmills and wood preservation [BS3211]",0.000178138301650605
"70","Manitoba","MB","Direct","Jobs",NA,"Support activities for forestry [BS1153]",8.40566012117574e-05
"71","Manitoba","MB","Direct","Jobs",NA,"Veneer, plywood and engineered wood product manufacturing [BS3212]",0.000515907029455648
"72","Manitoba","MB","Direct","Jobs",NA,"Total Forest Sector",0.0031517369647014
"73","New Brunswick","NB","Direct","Output",NA,"Converted paper product manufacturing [BS322200]",63.7368375749208
"74","New Brunswick","NB","Direct","Output",NA,"Forestry and logging [BS113000]",70.6627546325602
"75","New Brunswick","NB","Direct","Output",NA,"Other wood product manufacturing [BS321900]",23.753948462747
"76","New Brunswick","NB","Direct","Output",NA,"Pulp, paper and paperboard mills [BS322100]",155.100317426097
"77","New Brunswick","NB","Direct","Output",NA,"Sawmills and wood preservation [BS321100]",115.763590486122
"78","New Brunswick","NB","Direct","Output",NA,"Support activities for forestry [BS115300]",7.68547855144905
"79","New Brunswick","NB","Direct","Output",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",32.5627221810977
"80","New Brunswick","NB","Direct","Output",NA,"Total Forest Sector",469.265649314994
"81","New Brunswick","NB","Direct","GDP",NA,"Converted paper product manufacturing [BS322200]",15.7304115563066
"82","New Brunswick","NB","Direct","GDP",NA,"Forestry and logging [BS113000]",27.1109963044017
"83","New Brunswick","NB","Direct","GDP",NA,"Other wood product manufacturing [BS321900]",7.81599475179381
"84","New Brunswick","NB","Direct","GDP",NA,"Pulp, paper and paperboard mills [BS322100]",43.4298005671806
"85","New Brunswick","NB","Direct","GDP",NA,"Sawmills and wood preservation [BS321100]",36.1401498364493
"86","New Brunswick","NB","Direct","GDP",NA,"Support activities for forestry [BS115300]",5.1158071315464
"87","New Brunswick","NB","Direct","GDP",NA,"Veneer, plywood and engineered wood product manufacturing [BS321200]",11.7122242735613
"88","New Brunswick","NB","Direct","GDP",NA,"Total Forest Sector",147.05538442124
"89","New Brunswick","NB","Direct","Jobs",NA,"Converted paper product manufacturing [BS3222]",0.000102166369942008
"90","New Brunswick","NB","Direct","Jobs",NA,"Forestry and logging [BS113]",0.000263599932499589
"91","New Brunswick","NB","Direct","Jobs",NA,"Other wood product manufacturing [BS3219]",0.000189890373452423
"92","New Brunswick","NB","Direct","Jobs",NA,"Pulp, paper and paperboard mills [BS3221]",0.000226156760269534
"93","New Brunswick","NB","Direct","Jobs",NA,"Sawmills and wood preservation [BS3211]",0.000329713876608658
"94","New Brunswick","NB","Direct","Jobs",NA,"Support activities for forestry [BS1153]",7.01792028083321e-05
"95","New Brunswick","NB","Direct","Jobs",NA,"Veneer, plywood and engineered wood product manufacturing [BS3212]",8.46215692399248e-05
"96","New Brunswick","NB","Direct","Jobs",NA,"Total Forest Sector",0.00126632808482047
"97","Newfoundland and Labrador","NL","Direct","Output",NA,"Converted paper product manufacturing [BS322200]",8.10963344299674
"98","Newfoundland and Labrador","NL","Direct","Output",NA,"Forestry and logging [BS113000]",56.3430928161692
"99","Newfoundland and Labrador","NL","Direct","Output",NA,"Other wood product manufacturing [BS321900]",12.2587482277858
"100","Newfoundland and Labrador","NL","Direct","Output",NA,"Pulp, paper and paperboard mills [BS322100]",124.37914548038
"101","Newfoundland and Labrador","NL","Direct","Output",NA,"Sawmills and wood preservation [BS321100]",40.8939267803828
"102","Newfoundland and Labrador","NL","Direct","Output",NA,"Support activities for forestry [BS115300]",5.06066272993207
